rps_series_id,rps_quarter_date,ai_adoption_pct
RPSGENAIUSAGESHAREIND17,2025-10-01,42.9412975956
RPSGENAIUSAGESHAREIND17,2026-01-01,28.5132669543
RPSGENAIUSAGESHAREIND17,2026-04-01,31.9992080832
RPSGENAIUSAGESHAREIND18,2024-07-01,14.5869524213
RPSGENAIUSAGESHAREIND18,2024-10-01,13.611890798
RPSGENAIUSAGESHAREIND18,2025-01-01,19.366920555
RPSGENAIUSAGESHAREIND18,2025-04-01,22.8353679461
RPSGENAIUSAGESHAREIND18,2025-07-01,16.5581810507
RPSGENAIUSAGESHAREIND18,2025-10-01,20.8648158974
RPSGENAIUSAGESHAREIND18,2026-01-01,29.5089048784
RPSGENAIUSAGESHAREIND18,2026-04-01,30.52520052
RPSGENAIUSAGESHAREIND19,2024-07-01,18.7904993113
RPSGENAIUSAGESHAREIND19,2024-10-01,21.1496228628
RPSGENAIUSAGESHAREIND19,2025-01-01,26.5082050812
RPSGENAIUSAGESHAREIND19,2025-04-01,25.6566212512
RPSGENAIUSAGESHAREIND19,2025-07-01,28.6641421766
RPSGENAIUSAGESHAREIND19,2025-10-01,31.1101912449
RPSGENAIUSAGESHAREIND19,2026-01-01,28.5320547217
RPSGENAIUSAGESHAREIND19,2026-04-01,24.6784134748
