ROW_TYPE,Industry 2025 Description,2022 Industry Code,2022 NAICS Code,2022 NAICS Based Code
detail,Beauty salons,8980,812112,812112
detail,Nail salons and other personal care services,8990,"812113, 81219",8121M
detail,Drycleaning and laundry services,9070,8123,8123
detail,Death care services,9080,8122,8122
detail,Other personal services,9090,8129,8129
detail,Religious organizations,9160,8131,8131
detail,"Civic, social, advocacy organizations, and grantmaking and giving services",9170,"8132, 8133, 8134",813M
detail,Labor unions and similar labor organizations,9180,81393,81393
detail,"Business, professional, political, and similar organizations",9190,8139 exc. 81393,8139Z
detail,Private households,9290,814,814
sub-sector,Public Administration,9370-9590,92,92
detail,Executive offices and legislative bodies,9370,"92111, 92112, 92114, pt. 92115",9211MP
detail,Public finance activities,9380,92113,92113
detail,Other general government and support,9390,92119,92119
detail,"Justice, public order, and safety activities",9470,"922, pt. 92115",92MP
detail,Administration of human resource programs,9480,923,923
detail,"Administration of environmental quality, and housing programs, urban planning and community development",9490,"924, 925",92M1
detail,Administration of economic programs and space research and technology,9570,"926, 927",92M2
detail,National security and international affairs,9590,928,928P
detail,Armed Forces,9890,,
